prospectRank,priorityType,teamId,parentTeam,division,affiliateLevel,affiliateName,firstName,lastName,age,position,currentDisplayOVR,floorDisplay,ceilingDisplay,contact,power,eye,speed,defense,durability,stuff,control,stamina,velocity,movement,workEthic,mentalToughness,leadership,competitiveness,developmentProgram,developmentTrajectory,role,scoutingNote
1,Top Prospect,nym,New York Tycoons,AL_EAST,AA,Albany Blue Chips,Ari,Abarca,22,SS,45,40,75,45,45,40,55,60,45,,,,,,61,60,49,62,tools,ahead_of_curve,Top ranked prospect / potential impact regular,"Up-the-middle athlete with defensive value and pressure-speed traits; tools are ahead of current baseball skill. Fits the org identity around polished bats, zone control, up-the-middle defense, and marketable high-floor prospects."
1,Top Prospect,msp,Minneapolis Frost Giants,AL_WEST,A_PLUS,Rochester Snowdrifts,Quinn,Fujiwara,21,RF,40,35,70,40,60,35,35,40,40,,,,,,63,88,71,73,power,ahead_of_curve,Top ranked prospect / potential impact regular,"Bat-first profile with enough impact to matter if the approach holds; game power is the development focus. Fits the org identity around cold-weather strength, athletic outfielders, power arms, and durable two-way competitors."
2,Top Prospect,msp,Minneapolis Frost Giants,AL_WEST,AA,Duluth Lake Giants,Rafael,Matsu,23,C,45,40,65,45,45,45,35,65,50,,,,,,77,58,83,88,defense,on_track,Impact follow prospect / everyday or rotation path,"Catcher with staff-handling traits and a realistic defensive path; defense gives the profile a safer floor. Fits the org identity around cold-weather strength, athletic outfielders, power arms, and durable two-way competitors."
3,Top Prospect,msp,Minneapolis Frost Giants,AL_WEST,A_PLUS,Rochester Snowdrifts,Silas,Varela,21,CF,40,35,60,40,40,35,50,55,40,,,,,,91,70,46,66,tools,on_track,Scarcity-position prospect / above-average role path,"Up-the-middle athlete with defensive value and pressure-speed traits; tools are ahead of current baseball skill. Fits the org identity around cold-weather strength, athletic outfielders, power arms, and durable two-way competitors."
4,Top Prospect,msp,Minneapolis Frost Giants,AL_WEST,AA,Duluth Lake Giants,Theo,Delrio,22,RF,40,35,60,40,60,35,35,40,40,,,,,,66,82,58,81,power,on_track,Athletic regular upside,Bat-first profile with enough impact to matter if the approach holds; game power is the development focus. Best used as athletic regular upside.
5,Top Prospect,msp,Minneapolis Frost Giants,AL_WEST,AAA,St. Paul Icebreakers,Ulises,Kessler,25,RP,50,45,60,20,20,20,25,30,55,55,45,40,70,50,80,94,70,96,velocity,on_track,Near-ready relief or swingman option,Relief profile with one carrying pitch and room for command growth; velocity development drives the upside. Best used as near-ready relief or swingman option.
6,Top Prospect,msp,Minneapolis Frost Giants,AL_WEST,A_PLUS,Rochester Snowdrifts,Vidal,Rosales,21,RF,35,25,60,35,55,30,30,35,35,,,,,,94,64,82,74,power,on_track,Power or corner-depth prospect,Bat-first profile with enough impact to matter if the approach holds; game power is the development focus. Best used as power or corner-depth prospect.
7,Top Prospect,msp,Minneapolis Frost Giants,AL_WEST,A,Mankato Frostlings,Wes,Zoric,20,C,35,25,55,35,35,40,25,50,40,,,,,,69,76,45,89,fundamentals,on_track,Defense/speed development prospect,Catcher with staff-handling traits and a realistic defensive path; fundamentals can turn the tools into a role. Best used as defense/speed development prospect.
8,Top Prospect,msp,Minneapolis Frost Giants,AL_WEST,A,Mankato Frostlings,Xavi,Gomes,20,CL,30,20,60,20,20,20,25,30,30,40,30,20,40,40,83,88,57,67,breaking,on_track,Raw arm with starter traits,Late-inning arm with leverage temperament and swing-and-miss shape; breaking-ball quality is the carrying skill. Best used as raw arm with starter traits.
9,Top Prospect,msp,Minneapolis Frost Giants,AL_WEST,ROOKIE,Northwoods Icecaps,Yael,Nystrom,19,CF,30,20,60,30,25,30,35,50,30,,,,,,58,58,69,82,defense,bust_risk,Young bat with one loud carrying tool,Up-the-middle athlete with defensive value and pressure-speed traits; defense gives the profile a safer floor. Best used as young bat with one loud carrying tool.
10,Top Prospect,msp,Minneapolis Frost Giants,AL_WEST,INTERNATIONAL,Punta Cana Frost Academy,Zane,Wynn,18,SP,30,20,60,20,20,20,20,30,30,35,30,50,35,30,72,70,81,60,stamina,bust_risk,International/rookie upside lottery ticket,Starter traits with enough pitch mix to stay in a rotation; workload growth is the main development goal. Best used as international/rookie upside lottery ticket.
,Depth / Role Player,msp,Minneapolis Frost Giants,AL_WEST,AAA,St. Paul Icebreakers,Emilio,Espina,27,C,45,40,50,45,45,50,35,60,50,,,,,,92,69,65,90,fundamentals,on_track,Optionable catcher with receiving value,Catcher with staff-handling traits and a realistic defensive path; fundamentals can turn the tools into a role. Best used as optionable catcher with receiving value.
,Depth / Role Player,msp,Minneapolis Frost Giants,AL_WEST,AAA,St. Paul Icebreakers,Tomas,Lofton,26,2B,45,40,50,45,40,45,50,65,45,,,,,,64,76,70,66,defense,on_track,Utility infielder / contact bench bat,Up-the-middle athlete with defensive value and pressure-speed traits; defense gives the profile a safer floor. Best used as utility infielder / contact bench bat.
,Depth / Role Player,msp,Minneapolis Frost Giants,AL_WEST,AAA,St. Paul Icebreakers,Jonas,Seldon,27,LF,45,40,50,45,55,50,40,50,45,,,,,,75,83,75,79,fundamentals,on_track,Left-handed bench outfield depth,Bat-first profile with enough impact to matter if the approach holds; fundamentals can turn the tools into a role. Best used as left-handed bench outfield depth.
,Depth / Role Player,msp,Minneapolis Frost Giants,AL_WEST,AAA,St. Paul Icebreakers,Milo,Ames,28,SP,45,40,50,20,20,20,20,30,50,50,45,65,50,45,86,90,80,92,stamina,on_track,Sixth-starter depth,Starter traits with enough pitch mix to stay in a rotation; workload growth is the main development goal. Best used as sixth-starter depth.
,Depth / Role Player,msp,Minneapolis Frost Giants,AL_WEST,AA,Duluth Lake Giants,Nico,Huxley,24,RP,40,35,55,20,20,20,25,30,45,45,35,30,60,40,58,55,85,68,velocity,on_track,Middle-relief shuttle candidate,Relief profile with one carrying pitch and room for command growth; velocity development drives the upside. Best used as middle-relief shuttle candidate.
,Depth / Role Player,msp,Minneapolis Frost Giants,AL_WEST,AA,Duluth Lake Giants,Soren,Ocampo,24,RF,40,35,55,40,50,45,35,45,40,,,,,,69,62,90,81,fundamentals,on_track,Fourth-outfielder depth,Bat-first profile with enough impact to matter if the approach holds; fundamentals can turn the tools into a role. Best used as fourth-outfielder depth.
,Depth / Role Player,msp,Minneapolis Frost Giants,AL_WEST,A_PLUS,Rochester Snowdrifts,Tariq,Winslow,22,SS,35,25,55,35,30,35,40,55,35,,,,,,80,69,46,94,defense,on_track,Defense-first infield depth,Up-the-middle athlete with defensive value and pressure-speed traits; defense gives the profile a safer floor. Best used as defense-first infield depth.
,Depth / Role Player,msp,Minneapolis Frost Giants,AL_WEST,A,Mankato Frostlings,Andre,Escobar,21,SP,30,20,55,20,20,20,20,30,30,35,30,50,35,30,91,76,51,70,stamina,on_track,Developmental starter with strike-throwing base,Starter traits with enough pitch mix to stay in a rotation; workload growth is the main development goal. Best used as developmental starter with strike-throwing base.
,Depth / Role Player,msp,Minneapolis Frost Giants,AL_WEST,ROOKIE,Northwoods Icecaps,Cyrus,Lazaro,19,C,25,20,50,25,25,30,20,40,30,,,,,,63,83,56,83,fundamentals,on_track,Young catcher / staff-handling project,Catcher with staff-handling traits and a realistic defensive path; fundamentals can turn the tools into a role. Best used as young catcher / staff-handling project.
,Depth / Role Player,msp,Minneapolis Frost Giants,AL_WEST,INTERNATIONAL,Punta Cana Frost Academy,Damon,Toma,18,RP,25,20,55,20,20,20,25,30,25,30,20,20,45,25,74,90,61,96,velocity,on_track,Academy arm strength project,Relief profile with one carrying pitch and room for command growth; velocity development drives the upside. Best used as academy arm strength project.
1,Top Prospect,stl,St. Louis Archers,AL_WEST,AA,Columbia Gateway Guards,Felix,Carden,22,SS,45,40,70,45,45,40,55,60,45,,,,,,88,60,73,74,tools,ahead_of_curve,Top ranked prospect / potential impact regular,"Up-the-middle athlete with defensive value and pressure-speed traits; tools are ahead of current baseball skill. Fits the org identity around fundamentals, command, leadership, and repeatable player-development wins."
2,Top Prospect,stl,St. Louis Archers,AL_WEST,AA,Columbia Gateway Guards,Gavin,Jun,23,3B,45,40,70,45,65,40,40,45,45,,,,,,63,72,85,89,power,ahead_of_curve,Impact follow prospect / everyday or rotation path,"Bat-first profile with enough impact to matter if the approach holds; game power is the development focus. Fits the org identity around fundamentals, command, leadership, and repeatable player-development wins."
3,Top Prospect,stl,St. Louis Archers,AL_WEST,A_PLUS,Cape Girardeau Targets,Hugo,Quill,21,2B,40,35,60,40,40,35,50,55,40,,,,,,77,84,48,67,tools,on_track,Scarcity-position prospect / above-average role path,"Up-the-middle athlete with defensive value and pressure-speed traits; tools are ahead of current baseball skill. Fits the org identity around fundamentals, command, leadership, and repeatable player-development wins."
4,Top Prospect,stl,St. Louis Archers,AL_WEST,AA,Columbia Gateway Guards,Ilya,Ybarra,22,SS,40,35,60,40,40,35,50,55,40,,,,,,91,96,60,82,tools,on_track,Athletic regular upside,Up-the-middle athlete with defensive value and pressure-speed traits; tools are ahead of current baseball skill. Best used as athletic regular upside.
5,Top Prospect,stl,St. Louis Archers,AL_WEST,AAA,Springfield Bowstrings,Joaquin,Farraday,25,RP,50,45,60,20,20,20,25,30,55,55,45,40,70,55,66,66,72,60,velocity,on_track,Near-ready relief or swingman option,Relief profile with one carrying pitch and room for command growth; velocity development drives the upside. Best used as near-ready relief or swingman option.
6,Top Prospect,stl,St. Louis Archers,AL_WEST,A_PLUS,Cape Girardeau Targets,Kaito,Mercado,21,DH,35,25,60,35,55,30,30,35,35,,,,,,80,78,84,75,power,on_track,Power or corner-depth prospect,Bat-first profile with enough impact to matter if the approach holds; game power is the development focus. Best used as power or corner-depth prospect.
7,Top Prospect,stl,St. Louis Archers,AL_WEST,A,Quincy Fletchers,Leon,Valen,20,LF,35,25,55,35,45,40,30,40,35,,,,,,94,90,47,90,fundamentals,on_track,Defense/speed development prospect,Bat-first profile with enough impact to matter if the approach holds; fundamentals can turn the tools into a role. Best used as defense/speed development prospect.
8,Top Prospect,stl,St. Louis Archers,AL_WEST,A,Quincy Fletchers,Malik,Dovek,20,SP,30,20,60,20,20,20,20,30,30,35,30,50,35,35,69,60,59,68,stamina,on_track,Raw arm with starter traits,Starter traits with enough pitch mix to stay in a rotation; workload growth is the main development goal. Best used as raw arm with starter traits.
9,Top Prospect,stl,St. Louis Archers,AL_WEST,ROOKIE,Riverfront Bullseyes,Noel,Kepler,19,C,30,20,60,30,30,35,20,45,35,,,,,,83,72,71,83,fundamentals,bust_risk,Young bat with one loud carrying tool,Catcher with staff-handling traits and a realistic defensive path; fundamentals can turn the tools into a role. Best used as young bat with one loud carrying tool.
10,Top Prospect,stl,St. Louis Archers,AL_WEST,INTERNATIONAL,San Juan Archer Academy,Orion,Rivas,18,C,30,20,60,30,30,35,20,45,35,,,,,,58,84,83,61,fundamentals,bust_risk,International/rookie upside lottery ticket,Catcher with staff-handling traits and a realistic defensive path; fundamentals can turn the tools into a role. Best used as international/rookie upside lottery ticket.
,Depth / Role Player,stl,St. Louis Archers,AL_WEST,AAA,Springfield Bowstrings,Pavel,Zavala,27,C,45,40,50,45,45,50,35,60,50,,,,,,78,83,67,91,fundamentals,on_track,Optionable catcher with receiving value,Catcher with staff-handling traits and a realistic defensive path; fundamentals can turn the tools into a role. Best used as optionable catcher with receiving value.
,Depth / Role Player,stl,St. Louis Archers,AL_WEST,AAA,Springfield Bowstrings,Rey,Garnet,26,3B,45,40,50,45,55,50,40,50,45,,,,,,89,90,72,67,fundamentals,on_track,Utility infielder / contact bench bat,Bat-first profile with enough impact to matter if the approach holds; fundamentals can turn the tools into a role. Best used as utility infielder / contact bench bat.
,Depth / Role Player,stl,St. Louis Archers,AL_WEST,AAA,Springfield Bowstrings,Santos,Norcross,27,LF,45,40,50,45,55,50,40,50,45,,,,,,61,55,77,80,fundamentals,on_track,Left-handed bench outfield depth,Bat-first profile with enough impact to matter if the approach holds; fundamentals can turn the tools into a role. Best used as left-handed bench outfield depth.
,Depth / Role Player,stl,St. Louis Archers,AL_WEST,AAA,Springfield Bowstrings,Talen,Voss,28,SP,45,40,50,20,20,20,20,30,50,50,45,65,50,50,72,62,82,93,stamina,on_track,Sixth-starter depth,Starter traits with enough pitch mix to stay in a rotation; workload growth is the main development goal. Best used as sixth-starter depth.
,Depth / Role Player,stl,St. Louis Archers,AL_WEST,AA,Columbia Gateway Guards,Uri,Duarte,24,CL,40,35,55,20,20,20,25,30,45,50,40,30,50,55,83,69,87,69,breaking,on_track,Middle-relief shuttle candidate,Late-inning arm with leverage temperament and swing-and-miss shape; breaking-ball quality is the carrying skill. Best used as middle-relief shuttle candidate.
,Depth / Role Player,stl,St. Louis Archers,AL_WEST,AA,Columbia Gateway Guards,Vaughn,Kovar,24,RF,40,35,55,40,50,45,35,45,40,,,,,,94,76,43,82,fundamentals,on_track,Fourth-outfielder depth,Bat-first profile with enough impact to matter if the approach holds; fundamentals can turn the tools into a role. Best used as fourth-outfielder depth.
,Depth / Role Player,stl,St. Louis Archers,AL_WEST,A_PLUS,Cape Girardeau Targets,Wade,Severin,22,SS,35,25,55,35,30,35,40,55,35,,,,,,66,83,48,95,defense,on_track,Defense-first infield depth,Up-the-middle athlete with defensive value and pressure-speed traits; defense gives the profile a safer floor. Best used as defense-first infield depth.
,Depth / Role Player,stl,St. Louis Archers,AL_WEST,A,Quincy Fletchers,Yuri,Bellweather,21,SP,30,20,55,20,20,20,20,30,30,35,30,50,35,35,77,90,53,71,stamina,on_track,Developmental starter with strike-throwing base,Starter traits with enough pitch mix to stay in a rotation; workload growth is the main development goal. Best used as developmental starter with strike-throwing base.
,Depth / Role Player,stl,St. Louis Archers,AL_WEST,ROOKIE,Riverfront Bullseyes,Zion,Ives,19,C,25,20,50,25,25,30,20,40,30,,,,,,88,55,58,84,fundamentals,on_track,Young catcher / staff-handling project,Catcher with staff-handling traits and a realistic defensive path; fundamentals can turn the tools into a role. Best used as young catcher / staff-handling project.
,Depth / Role Player,stl,St. Louis Archers,AL_WEST,INTERNATIONAL,San Juan Archer Academy,Alonzo,Paredes,18,SS,25,20,55,25,20,25,30,45,25,,,,,,60,62,63,60,defense,on_track,Academy middle-infield glove project,Up-the-middle athlete with defensive value and pressure-speed traits; defense gives the profile a safer floor. Best used as academy middle-infield glove project.
1,Top Prospect,ind,Indianapolis Speedsters,AL_WEST,A_PLUS,Terre Haute Turbochargers,Bruno,Wexler,21,CF,40,35,65,40,40,35,50,55,40,,,,,,74,74,75,75,tools,on_track,Top ranked prospect / potential impact regular,"Up-the-middle athlete with defensive value and pressure-speed traits; tools are ahead of current baseball skill. Fits the org identity around speed, base running, energetic center-field types, and strike-throwing arms."
2,Top Prospect,ind,Indianapolis Speedsters,AL_WEST,AA,Lafayette Lap Kings,Cassian,Evers,23,SP,45,40,65,20,20,20,20,30,50,50,50,55,50,50,88,86,87,90,refinement,on_track,Impact follow prospect / everyday or rotation path,"Starter traits with enough pitch mix to stay in a rotation; refinement should decide the role. Fits the org identity around speed, base running, energetic center-field types, and strike-throwing arms."
3,Top Prospect,ind,Indianapolis Speedsters,AL_WEST,A_PLUS,Terre Haute Turbochargers,Diego,Linton,21,RP,40,35,60,20,20,20,25,30,40,45,35,30,60,40,63,56,50,68,velocity,on_track,Scarcity-position prospect / above-average role path,"Relief profile with one carrying pitch and room for command growth; velocity development drives the upside. Fits the org identity around speed, base running, energetic center-field types, and strike-throwing arms."
4,Top Prospect,ind,Indianapolis Speedsters,AL_WEST,AA,Lafayette Lap Kings,Enzo,Tejada,22,LF,40,35,60,40,60,35,35,40,40,,,,,,77,68,62,83,power,on_track,Athletic regular upside,Bat-first profile with enough impact to matter if the approach holds; game power is the development focus. Best used as athletic regular upside.
5,Top Prospect,ind,Indianapolis Speedsters,AL_WEST,AAA,Fort Wayne Flywheels,Franco,Carrow,25,CL,50,45,60,20,20,20,25,30,55,60,50,40,60,60,91,80,74,61,breaking,on_track,Near-ready relief or swingman option,Late-inning arm with leverage temperament and swing-and-miss shape; breaking-ball quality is the carrying skill. Best used as near-ready relief or swingman option.
